sale_date,sale_time,file_number,case_number,firm_name,address,city,county,zip_code,opening_bid,required_down,sale_amount,continuance,sold_to,last_updated
2018-04-23 10:30:00,10:30 AM,38-781,16 CH 16186,"JOHNSON, BLUMBERG & ASSOCIATES, LLC",8445 SOUTH MORGAN STREET,CHICAGO,Cook,60620,47450.00,25,47550.00,,Third Party Bidder,2018-05-30 20:27:14.083866
2018-04-24 10:30:00,10:30 AM,38-796,16 CH 08033,"HEAVNER, BEYERS & MIHLAR, LLC",1655 W. MONTVALE AVE.,CHICAGO,Cook,60643,42500.00,25,52000.00,,Third Party Bidder,2018-05-30 20:27:14.235859
2018-04-24 10:30:00,10:30 AM,38-940,15 CH 15095,"Anselmo Lindberg & Associates, LLC",1665 WEST WASECA PLACE,CHICAGO,Cook,60643,45000.00,25,45000.00,,Plaintiff,2018-05-30 20:27:14.350859
2018-04-24 10:30:00,10:30 AM,38-812,16 CH 09886,"McCalla Raymer Leibert Pierce, LLC",4228 WEST WILCOX STREET,CHICAGO,Cook,60624,118000.00,25,118000.00,,Plaintiff,2018-05-30 20:27:14.450859
2018-04-24 10:30:00,10:30 AM,38-2493,12 CH 15997,"Anselmo Lindberg & Associates, LLC",4942 WEST IOWA STREET,CHICAGO,Cook,60651,272212.61,25,272212.61,,Plaintiff,2018-05-30 20:27:14.575863
2018-04-24 10:30:00,10:30 AM,38-2481,2017 CH 16075,"CODILIS & ASSOCIATES, P.C.",6744 S. GREEN ST,CHICAGO,Cook,60621,13750.00,25,13750.00,,Plaintiff,2018-05-30 20:27:14.665860
2018-04-24 10:30:00,10:30 AM,38-726,2016 CH 16072,"MARINOSCI LAW GROUP, P.C.",7307 S SANGAMON ST,CHICAGO,Cook,60621,27010.00,25,46000.00,,Third Party Bidder,2018-05-30 20:27:14.776862
2018-04-24 10:30:00,10:30 AM,38-829,16 CH 4447,"SHAPIRO KREISMAN & ASSOCIATES, LLC",8228 SOUTH TROY STREET,CHICAGO,Cook,60652,127750.00,25,127850.00,,Third Party Bidder,2018-05-30 20:27:14.871859
2018-04-24 10:30:00,10:30 AM,38-795,17 CH 08144,"HEAVNER, BEYERS & MIHLAR, LLC",8511 S. DAMEN AVENUE,CHICAGO,Cook,60620,137000.00,25,137000.00,,Plaintiff,2018-05-30 20:27:14.965860
2018-04-24 10:30:00,10:30 AM,38-834,17 CH 12665,"HEAVNER, BEYERS & MIHLAR, LLC",9723 SOUTH FOREST AVENUE,CHICAGO,Cook,60628,79300.00,25,88100.00,,Third Party Bidder,2018-05-30 20:27:15.076859
2018-04-24 10:30:00,10:30 AM,38-839,16 CH 13734,"McCalla Raymer Leibert Pierce, LLC",9750 SOUTH PEORIA STREET,CHICAGO,Cook,60643,52560.00,25,79100.00,,Third Party Bidder,2018-05-30 20:27:15.178859
2018-04-25 10:30:00,10:30 AM,38-2337,12 CH 08826,"McCalla Raymer Leibert Pierce, LLC",1447 WEST VICTORIA STREET 1C,CHICAGO,Cook,60660,120000.00,25,120100.00,,Third Party Bidder,2018-05-30 20:27:15.359859
2018-04-25 10:30:00,10:30 AM,38-2322,2016 CH 15788,"McCalla Raymer Leibert Pierce, LLC",1519 EAST 85TH PLACE,CHICAGO,Cook,60619,56210.00,25,56310.00,,Third Party Bidder,2018-05-30 20:27:15.483861
2018-04-25 10:30:00,10:30 AM,38-2321,17 CH 01349,"McCalla Raymer Leibert Pierce, LLC",25 NORTH MENARD AVENUE UNIT 2N,CHICAGO,Cook,60644,109500.00,25,109500.00,,Plaintiff,2018-05-30 20:27:15.588860
2018-04-25 10:30:00,10:30 AM,38-2335,16 CH 04566,"McCalla Raymer Leibert Pierce, LLC",2548 NORTH MANGO AVENUE,CHICAGO,Cook,60639,251831.56,25,251831.56,,Plaintiff,2018-05-30 20:27:15.691860
2018-04-25 10:30:00,10:30 AM,38-2292,07 CH 20984,"McCalla Raymer Leibert Pierce, LLC",26 EAST 14TH PLACE UNIT 4W,CHICAGO,Cook,60605,373640.00,25,373740.00,,Third Party Bidder,2018-05-30 20:27:15.803861
